iter	RMSE
233	1079948.189
234	1078884.753
235	1072945.954
236	1070537.576
237	1069725.065
238	1063880.551
239	1061092.861
240	1059023.557
241	1058258.329
242	1056538.83
243	1050854.708
244	1048079.197
245	1044899.148
246	1042710.027
247	1039673.996
248	1037868.053
249	1032261.121
250	1030345.786
251	1024893.737
252	1024504.749
253	1022516.743
254	1020809.81
255	1017013.618
256	1011048.471
257	1010408.954
258	1003220.862
259	1001632.594
260	998076.6117
261	992833.0961
262	991058.3048
263	989826.1836
264	984725.2328
265	983797.1072
266	981938.9891
267	981334.3985
268	979553.4467
269	974570.7384
270	972876.62
271	971995.7521
272	971460.0206
273	969841.18
274	968276.9439
275	961601.3531
276	956841.0192
277	955996.0014
278	953109.005
279	946809.1036
280	940486.8336
281	936258.8792
282	935384.7135
283	934580.9383
284	933807.4655
285	932533.2495
286	930990.4423
287	926497.0104
288	923572.2838
289	917867.6935
290	917227.3803
291	916487.3511
292	913700.3092
293	913101.7776
294	910291.8696
295	908602.5203
296	906405.6414
297	903406.6861
298	902534.0331
299	901960.7562
300	901751.0815
301	898560.7273
302	897492.5444
303	894384.3751
304	894051.1291
305	893534.4852
306	890503.607
307	887571.3619
308	885053.4895
309	882005.5091
310	880338.6333
311	875928.0952
312	875623.6268
313	873034.6428
314	872103.257
315	869329.586
316	869032.014
317	868587.2444
318	868045.2662
319	865197.0027
320	864529.9034
321	859287.7195
322	858851.8685
323	857926.3338
324	857501.8769
325	854825.1664
326	850570.4641
327	849736.304
328	844599.9983
329	844304.4976
330	840838.8078
331	838274.9528
332	835540.3943
333	835022.5844
334	834579.2561
335	831921.003
336	831673.8636
337	827644.1979
338	823414.4596
339	820992.5005
340	818529.4927
341	817599.8746
342	816109.2335
343	815121.8549
344	812769.8154
345	812316.0025
346	811405.4536
347	809476.9689
348	805720.0946
349	804067.3584
350	801717.6374
351	797175.3476
352	795270.8316
353	794872.0716
354	794125.4869
355	790299.9435
356	789686.3742
357	789261.3872
358	788833.5939
359	788608.992
360	786518.9359
361	782826.6116
362	782450.6461
363	781356.3867
364	777670.2532
365	776501.1286
366	772604.462
367	769150.3438
368	766049.7146
369	763055.6221
370	759656.3901
371	759329.2894
372	758685.2366
373	757696.7175
374	755454.061
375	755095.0067
376	754329.0412
377	753798.0409
378	751623.0275
379	750918.4619
380	750576.9454
381	747231.503
382	745413.5972
383	743219.4722
384	741155.6002
385	740947.9502
386	740551.0295
387	739131.9479
388	738842.4616
389	738222.7065
390	736264.0315
391	733389.5042
392	729599.6413
393	727529.8753
394	725669.5498
395	723649.7844
396	722776.4416
397	722582.1362
398	719886.5567
399	719559.6292
400	717780.0056
401	715700.3268
402	714874.0212
403	713931.5704
404	712285.6253
405	710935.5154
406	710465.5355
407	708013.7378
408	706687.7677
409	706349.8917
410	706030.0229
411	703588.702
412	701812.8157
413	701026.4734
414	700703.3238
415	699186.3608
416	698842.0824
417	697106.287
418	695622.4962
419	693158.865
420	692870.9589
421	690489.6454
422	688972.5555
423	686609.4887
424	684708.467
425	683316.3247
426	681477.4284
427	680067.0595
428	679052.9387
429	678078.1702
430	677140.7137
431	676162.1306
432	674091.6765
433	673379.3958
434	671376.7287
435	669324.3784
436	667380.4664
437	666537.1297
438	664568.5795
439	662681.1494
440	660845.6534
441	660028.0513
442	658192.4495
443	657461.2194
444	656423.3473
445	654917.825
446	654768.4883
447	654588.894
448	653582.9795
449	651813.4655
450	651056.7996
451	649597.647
452	649438.0411
453	649105.1098
454	648865.7964
455	648553.4229
456	648210.9046
457	647170.0722
458	645479.7326
459	644085.4526
460	642662.952
461	641093.1016
462	639711.6466
463	638778.2179
464	637133.427
465	636819.597
466	635619.8141
467	635228.0867
468	634934.0622
469	634565.974
470	634327.5728
471	634096.6827
472	633953.9641
473	632369.9289
474	630890.0899
475	630698.3543
476	630414.6874
477	629757.4378
478	629465.7381
479	629278.2427
480	627749.9948
481	626323.7361
482	625941.2441
483	624960.1717
484	624625.3727
485	624450.6532
486	622727.1691
487	622603.5985
488	622036.3471
489	620582.9583
490	620412.0344
491	618972.1514
492	618355.1903
493	616816.5172
494	616242.2679
495	614378.2351
496	614172.7064
497	612972.0308
498	611525.2074
499	610187.2972
500	608820.8164
501	607412.784
502	606708.4678
503	606407.187
504	605712.9231
505	604786.4269
506	603424.5596
507	603214.4975
508	602890.0324
509	602110.1716
510	601135.5581
511	599799.4218
512	599609.1766
513	598389.3951
514	597305.8316
515	596027.5425
516	595134.9469
517	593936.5469
518	593653.0342
519	593107.1114
520	591885.0557
521	590754.7844
522	589897.102
523	589350.7257
524	589070.7723
525	587870.2249
526	587627.6864
527	587067.376
528	586747.941
529	586561.5972
530	585432.6044
531	585166.1865
532	584202.562
533	583074.3366
534	582537.634
535	581735.0578
536	581368.2395
537	580284.0856
538	580047.0693
539	579810.4359
540	579289.101
541	579057.3162
542	578898.1231
543	578649.8721
544	578207.573
545	578057.6307
546	577943.4154
547	577492.0214
548	577257.7609
549	577112.1981
550	575692.8445
551	575553.3554
552	574292.3151
553	573554.0763
554	572920.5829
555	572782.4738
556	571765.6775
557	571383.9514
558	571013.0555
559	570540.8781
560	569851.2707
561	569731.1278
562	569571.2106
563	568896.471
564	568661.468
565	568493.9444
566	568272.5841
567	567837.3291
568	567362.0653
569	567106.6037
570	566723.3416
571	566549.9101
572	566381.8811
573	566197.8691
574	565987.8937
575	565748.4542
576	564668.7074
577	564444.3164
578	563977.9152
579	562921.2502
580	562479.7549
581	561269.7324
582	560644.116
583	560039.2779
584	559114.0701
585	558589.987
586	558491.0099
587	558343.2878
588	558055.3515
589	557836.2807
590	556937.8087
591	556128.5367
592	555620.4645
593	555494.3719
594	555001.4704
595	554863.484
596	554640.4965
597	554192.1707
598	553608.6531
599	553186.6964
600	553001.119
601	552832.6735
602	552439.5649
603	551895.6882
604	551251.114
605	550532.6083
606	550091.0835
607	549860.7482
608	549187.0833
609	548877.6419
610	547723.7182
611	547423.9576
612	547014.9238
613	546365.3342
614	546174.8424
615	545963.4863
616	545554.9061
617	545455.1388
618	545022.4028
619	543978.896
620	543654.8872
621	542852.3585
622	542543.819
623	542243.1576
624	541950.8544
625	541575.7933
626	541478.2726
627	541109.0998
628	540306.334
629	539257.884
630	538357.8097
631	538073.7913
632	537712.7494
633	536776.0685
634	536505.0207
635	536310.0707
636	536022.8982
637	535637.7447
638	535094.0321
639	534990.9646
640	534087.704
641	532522.9639
642	531066.0536
643	530806.088
644	530552.9377
645	530239.6421
646	528961.3286
647	528715.6478
648	527526.738
649	526749.0899
650	526509.8767
651	526276.9909
652	524963.2937
653	524734.828
654	523675.5254
655	523198.1485
656	522309.7013
657	522054.1373
658	521838.5055
659	521717.7266
660	521272.1852
661	521104.863
662	520900.6225
663	520293.9057
664	520043.5841
665	519802.4073
666	519199.5675
667	517950.456
668	517724.2247
669	517171.0707
670	516305.1061
671	515724.7171
672	515528.0702
673	514823.2964
674	514271.9594
675	513749.4881
676	513417.2325
677	513097.6688
678	512665.4537
679	512311.2496
680	512181.2248
681	511885.2237
682	511702.8443
683	511587.993
684	511452.3275
685	511228.4913
686	511012.8403
687	510037.2165
688	509962.9978
689	509890.9216
690	509659.9761
691	509502.7651
692	509299.6198
693	508639.1181
694	508295.0995
695	507917.0055
696	507714.3008
697	507285.0095
698	507164.1185
699	506969.2458
700	506789.5594
701	506537.2594
702	506351.5509
703	506172.532
704	505878.3798
705	504901.2644
706	504261.7978
707	504042.0136
708	503702.068
709	502936.1838
710	502485.1123
711	501816.7283
712	501504.0723
713	501149.5697
714	500803.3084
715	500443.6732
716	500312.6297
717	499624.0107
718	499512.1076
719	499359.4551
720	499244.5671
721	498761.2828
722	498093.8481
723	497954.2268
724	497738.8542
725	497623.9574
726	497482.1367
727	496859.4552
728	496784.0457
729	496137.6588
730	495701.6608
731	495409.3654
732	495176.7998
733	494635.3769
734	494504.642
735	494446.5879
736	493903.2098
737	493629.3813
738	493490.1268
739	493357.2089
740	492707.8545
741	492362.9922
742	492235.1525
743	491743.9438
744	491613.6779
745	491537.5358
746	491146.7967
747	491042.7849
748	490693.1434
749	490649.6943
750	490048.3091
751	489952.5576
752	489386.5389
753	488973.4607
754	488918.3756
755	488785.0332
756	488233.6905
757	487912.018
758	487765.2362
759	487255.6121
760	486865.5724
761	486670.0481
762	486487.047
763	486244.7734
764	486151.4833
765	485689.9654
766	485609.9173
767	485338.2513
768	484701.7809
769	484331.8539
770	484258.01
771	483780.7143
772	483232.361
773	483126.1802
774	482831.6198
775	482338.484
776	482233.4958
777	482179.6871
778	482118.8432
779	481874.222
780	481510.4154
781	481067.2328
782	480570.3053
783	480126.7947
784	479660.5177
785	479436.7095
786	478470.1471
787	478415.6847
788	477956.8472
789	477801.3862
790	477503.4015
791	477293.9696
792	476966.7543
793	476609.0825
794	476227.4908
795	475782.9492
796	475358.5622
797	475101.3946
798	474440.1338
799	474327.3404
800	473423.549
801	473294.726
802	472604.462
803	472498.1863
804	472396.6592
805	472299.7996
806	471642.6821
807	471549.5043
808	471460.486
809	471031.0834
810	470615.3366
811	470238.4675
812	470051.9428
813	469434.9281
814	469034.0161
815	468645.7837
816	468551.66
817	468381.3245
818	468005.2955
819	467900.2756
820	467776.1459
821	467540.3511
822	467197.5712
823	466903.6853
824	466331.3545
825	465699.9472
826	465207.778
827	465093.825
828	465003.2554
829	464916.8139
830	464455.8651
831	464355.8525
832	464276.9875
833	463837.5184
834	463486.9072
835	463147.889
836	462787.8667
837	462550.2568
838	462214.5038
839	462019.8623
840	461721.6234
841	461581.7335
842	461379.9223
843	461275.6257
844	460685.5509
845	460369.6156
846	460029.2509
847	459916.0651
848	459809.961
849	459521.9581
850	459380.7434
851	459236.5679
852	459119.3811
853	458945.102
854	458844.6643
855	458742.4203
856	458529.5505
857	458429.6813
858	458362.7806
859	458055.8836
860	457949.7239
861	457849.8089
862	457745.5529
863	457687.9448
864	457312.4257
865	457083.5556
866	456793.0065
867	456696.1892
868	456529.7583
869	456303.7379
870	456258.8085
871	456076.1622
872	456012.3422
873	455735.7337
874	455643.6841
875	455395.1169
876	455087.6658
877	455018.5327
878	454751.4554
879	454459.1316
880	454220.6467
881	454112.48
882	454008.9829
883	453658.7198
884	453374.0536
885	453327.0704
886	453080.5809
887	452759.5253
888	452464.283
889	452104.2987
890	452003.449
891	451794.5328
892	451614.5799
893	451407.1697
894	451317.0052
895	451267.6308
896	451182.7709
897	451126.4379
898	450748.9875
899	450272.9521
900	450140.7861
901	450050.5667
902	449973.7563
903	449649.8765
904	449199.7131
905	448945.3362
906	448891.6085
907	448379.7211
908	448211.0657
909	448039.1445
910	447660.7411
911	447417.0409
912	447351.0671
913	447002.5799
914	446917.5202
915	446700.3639
916	446643.5476
917	446171.3548
918	446077.992
919	445902.4374
920	445790.1174
921	445719.6715
922	445641.8897
923	445469.2232
924	445356.6357
925	445287.6156
926	445201.1085
927	445137.5653
928	444660.2152
929	444452.4125
930	444250.6491
931	444182.6134
932	444015.7076
933	443953.4539
934	443782.8616
935	443670.362
936	443591.0913
937	443519.2054
938	443368.1183
939	443238.3169
940	443200.3184
941	443054.5763
942	442892.3525
943	442836.1919
944	442751.3881
945	442639.0641
946	442410.4128
947	442368.8355
948	442202.5562
949	442158.7821
950	441885.9426
951	441697.4733
952	441580.3191
953	441441.2997
954	441401.5322
955	441319.9774
956	441245.6547
957	441179.6538
958	441025.0483
959	440951.6769
960	440729.7934
961	440547.6201
962	440466.8374
963	440349.7728
964	440201.0124
965	440138.6279
966	440064.8813
967	439915.8172
968	439855.833
969	439756.9161
970	439715.6104
971	439479.324
972	439264.1143
973	438921.1045
974	438589.3941
975	438506.8032
976	438213.9876
977	437895.0198
978	437788.9294
979	437335.9289
980	437132.4258
981	437011.206
982	436875.5184
983	436803.1688
984	436713.7552
985	436602.8263
986	436468.2363
987	436233.506
988	436162.8253
989	436060.5605
990	435992.7682
991	435928.8666
992	435822.9746
993	435752.6598
994	435694.5254
995	435568.8526
996	435504.9178
997	435430.8146
998	435375.8838
999	435279.2083
